"SurveyID","Large_rock","Small_rock","AspNum1","AspNum2","AspNum3","Latitude_WGS84_Final","Longitude_WGS84_Final","AccuracyDescription","TransectAzimuth","TransectLength","TransectFeetMeters","PICode","Representative","DomLayer","Struct_Gr","Struct_Sh","Struct_Tr","LeafType","LeafPhen","Physiognomy","DomForm","CowSystem","CowSubsystem","CowClass","Vertical","Horizontal","ChannelType","Trend","SiteLocation","AdditionalNotes","FragOther","Tree_domin","H1_subcategory","HowVegChange","AltPlotsID"
"ANZA001",,,,,,"32.6677865","-116.1370356",,0,0,,,,"Shrub",,,,,,,"Lowland chaparral",,,,"0","0",,"Stable",,,,,,,50
"ANZA002",,,,,,"32.6619658","-116.1265645",,0,0,,,,"Shrub","Open","Open",,,,,"Mixed desert",,,,"0","0",,,"APPROX. 1 MI N OF JCT FOR SAMPLING TEAMS 2 & 3 TO DIVERGE","GPS FILE# C042322A",,,,,51
"ANZA003",,,,,,"32.9257207","-116.3605715",,0,0,,,,"Shrub","Open","Open","Open",,,,"Mixed desert",,,,"0","0",,"Stable","N FACING BOULDER SLOPE   2.5 MILES S OF S2 NEAR 1/3 WAY UP POMERO","VERY STEEP, VERY LARGE (HOUSE SIZE) GRANITE BOULDERS, VEG ONLY IN CREVICES AND CRACKS",,,,,52
"ANZA004",,,,,,"33.0151575","-116.4869789",,0,0,,,,"Shrub","Intermittent","Intermittent","Open",,,,"Mixed desert",,,,"0","0",,"Stable",,"MORE PRUNUS IN UPPER AND MORE CASTILLEJA IN LOWER SLOPE  -MAY HAVE BEEN CHAMISE AT ONE TIME (COMMENT FROM MAP PHOTOGRAPHY)",,,,,53
"ANZA005",,,,,,"33.0108113","-116.5012652",,0,0,,,,"Shrub","Intermittent","Intermittent",,,,,"Mixed desert",,,,"0","0",,"Stable",,"N FACING SLOPE HAS GREATER DENSITY OF PRUNUS, IF POLY INLCUDES ENTIRE TOP OF SLOPE THEN RHUS OVATA DOMINATES TOP OF POLY AT WASH BUT NOT IN MAIN PART OF POLYGON, SALVIA APIANA DOMINATES TOP OF S FACING SLOPE WHERE MORE ROCKY, FERN UNDER PRUNUS AND HIDING ",,,,,54
"ANZA006",,,,,,"33.2126644","-116.4638708",,0,0,,,,"Shrub","Intermittent","Intermittent","Continuous",,,,"Mixed desert",,,,"0","0",,"Stable","CA 500M E OF JUNCT S22 & DIRT ROAD TO CULP VALLEY","INTERESTING MIXING OF ZONE OF DESERT AND CHAP. W/ CHAMISE & Q CORNELIUS-MULLERI IN POCKETS SURROUNDED BY P. FREMONTII-VIGUIERA-E. FASCIC.-SCRUB IN SMALL ORDER MATRIX",,,,,55
"ANZA007",,,,,,"33.0478329","-116.4362438",,0,0,,,,"Shrub","Open","Open","Open",,,,"Mixed desert",,,,"0","0",,"Stable","CA 150M NW OF END OF ROAD","NOTE LINES DRAWN ON PHOTO FOR APPROX DIFFERENCE UPPER POLY IS ON LOWER 1/3 SLOPE   LOWER (OLD) POLY IS ON BAJADA",,,,,56
"ANZA008",,,,,,"33.0402583","-116.4061134",,0,0,,,,"Shrub","Intermittent","Intermittent","Open",,,,"Mixed desert",,,,"0","0",,"Stable","ALONG BUTTERFIELD ROAD - SLOPE TO RIGHT",,,,,,57
"ANZA009",,,,,,"33.0447249","-116.4366184",,0,0,,,,"Shrub","Intermittent","Open",,,,,"Mixed desert",,,,"0","0",,"Increasing",,,,,,,58
"ANZA010",,,,,,"32.6683093","-116.1592475",,0,0,,,,"Shrub","Open","Open","Open",,,,"Mixed desert",,,,"0","0",,"Stable","4 MI FROM I8    _MI ALONG _TRAIL RD  SOUTH FACING SLOPE","MOSAIC PATTERN- ON FLAT TOPS-MORE OPEN OPUNTIA & GUTIERREZIA MOST COMMON WITH JUNIPER & SIMMONDSIA -ALONG/NEAR DRAINAGES-CHRYSOTHAMNUS & ZIZIPHUS/PRUNUS MORE COMMON     ON ROUNDED TOPS-LOTUS ERIOGONIUM MOST COMMON",,,,,59
"ANZA011",,,,,,"33.1017634","-116.4716742",,0,0,,,,"Shrub","Open","Open","Open",,,,"Mixed desert",,,,"0","0",,"Stable","PCT- ~ 0.3 MI ALONG TRAIL RD JUST N OF HWY 78",,,,,,60
"ANZA012",,,,,,"33.1668026","-116.4968204",,0,0,,,,"Shrub","Intermittent","Intermittent","Open",,,,,,,,"0","0",,"Unknown",,,,,,,61
"ANZA013",,,,,,"33.0462914","-116.4349657",,0,0,,,,"Shrub","Open","Open","Open",,,,"Mixed desert",,,,"0","0",,"Decreasing","CA 100M S OF END OF ROAD",,,,,,62
