SurveyID,Stratum,CodeSpecies,Species_name,SpeciesName,Species_cover,Changed,Notes,Collection,CurrPlantsSymbol
ANZA001,S,PRFR,Prunus fremontii S. Wats.,Prunus fremontii,12,0,NA,NA,PRFR
ANZA001,S,ACSP12,Achnatherum speciosum (Trin. & Rupr.) Barkworth,Achnatherum speciosum,3,0,NA,NA,ACSP12
ANZA001,S,CHTE4,Chrysothamnus teretifolius (Dur. & Hilg.) Hall,Chrysothamnus teretifolius,3,0,NA,NA,ERTE18
ANZA001,G,BRMAR,Bromus madritensis L. ssp. rubens (L.) Husnot,Bromus madritensis ssp. rubens,3,0,NA,NA,BRRU2
ANZA001,G,LOSC2,Lotus scoparius (Nutt.) Ottley,Lotus scoparius,2,0,NA,NA,LOSC2
ANZA001,G,ENAC,Encelia actonii Elmer,Encelia actonii,2,0,NA,NA,ENAC
ANZA001,S,VIPA14,Viguiera parishii Greene,Viguiera parishii,2,0,NA,NA,VIPA14
ANZA001,G,SCBA,Schismus barbatus (Loefl. ex L.) Thellung,Schismus barbatus,2,0,NA,NA,SCBA
ANZA001,G,ISME5,Isocoma menziesii (Hook. & Arn.) Nesom,Isocoma menziesii,2,0,NA,NA,ISME5
ANZA001,S,OPAC,Opuntia acanthocarpa Engelm. & Bigelow,Opuntia acanthocarpa,1,0,NA,NA,CYACA2
ANZA001,G,MIBI8,Mirabilis bigelovii Gray,Mirabilis bigelovii,1,0,NA,NA,MILAV
ANZA001,S,ENAC,Encelia actonii Elmer,Encelia actonii,1,0,NA,NA,ENAC
ANZA001,S,EPCA2,Ephedra californica S. Wats.,Ephedra californica,1,0,NA,NA,EPCA2
ANZA001,G,CHTE4,Chrysothamnus teretifolius (Dur. & Hilg.) Hall,Chrysothamnus teretifolius,1,0,NA,NA,ERTE18
ANZA001,G,ERFA2,Eriogonum fasciculatum Benth.,Eriogonum fasciculatum,1,0,NA,NA,ERFA2
ANZA001,G,BRTO,Brassica tournefortii Gouan,Brassica tournefortii,0.2,0,NA,NA,BRTO
ANZA001,S,ZIPA,Ziziphus parryi Torr.,Ziziphus parryi,0.2,0,NA,NA,ZIPA
ANZA001,S,YUSC2,Yucca schidigera Roezl ex Ortgies,Yucca schidigera,0.2,0,NA,NA,YUSC2
ANZA001,S,STPA4,Stephanomeria pauciflora (Torr.) A. Nels.,Stephanomeria pauciflora,0.2,0,NA,NA,STPA4
ANZA001,S,THMO,Thamnosma montana Torr. & Frm.,Thamnosma montana,0.2,0,NA,NA,THMO
ANZA001,G,ACSP12,Achnatherum speciosum (Trin. & Rupr.) Barkworth,Achnatherum speciosum,0.2,0,NA,NA,ACSP12
ANZA001,G,CHPO12,Chamaesyce polycarpa (Benth.) Millsp. ex Parish,Chamaesyce polycarpa,0.2,0,NA,NA,CHPO12
ANZA001,G,ERCI6,Erodium cicutarium (L.) L'Hr. ex Ait.,Erodium cicutarium,0.2,0,NA,NA,ERCI6
ANZA001,G,ECEN,Echinocereus engelmannii (Parry ex Engelm.) Lem.,Echinocereus engelmannii,0.2,0,NA,NA,ECEN
ANZA001,G,MEIM,Melica imperfecta Trin.,Melica imperfecta,0.2,0,NA,NA,MEIM
ANZA001,G,VIPA14,Viguiera parishii Greene,Viguiera parishii,0.2,0,NA,NA,VIPA14
ANZA001,G,GAAN2,Galium angustifolium Nutt. ex Gray,Galium angustifolium,0.2,0,NA,NA,GAAN2
ANZA001,S,SICH,Simmondsia chinensis (Link) Schneid.,Simmondsia chinensis,0.2,0,NA,NA,SICH
ANZA002,G,BRMAR,Bromus madritensis L. ssp. rubens (L.) Husnot,Bromus madritensis ssp. rubens,18,0,NA,NA,BRRU2
ANZA002,S,PRFR,Prunus fremontii S. Wats.,Prunus fremontii,10,0,NA,NA,PRFR
ANZA002,S,ERFA2,Eriogonum fasciculatum Benth.,Eriogonum fasciculatum,6,0,NA,NA,ERFA2
ANZA002,G,LOSC2,Lotus scoparius (Nutt.) Ottley,Lotus scoparius,4,0,NA,NA,LOSC2
ANZA002,S,EPCA2,Ephedra californica S. Wats.,Ephedra californica,3,0,NA,NA,EPCA2
ANZA002,G,ERFA2,Eriogonum fasciculatum Benth.,Eriogonum fasciculatum,3,0,NA,NA,ERFA2
ANZA002,S,CHTE4,Chrysothamnus teretifolius (Dur. & Hilg.) Hall,Chrysothamnus teretifolius,3,0,NA,NA,ERTE18
ANZA002,S,OPAC,Opuntia acanthocarpa Engelm. & Bigelow,Opuntia acanthocarpa,2,0,NA,NA,CYACA2
ANZA002,G,POSE,Poa secunda J. Presl,Poa secunda,2,0,NA,NA,POSE
ANZA002,S,LOSC2,Lotus scoparius (Nutt.) Ottley,Lotus scoparius,0.2,0,NA,NA,LOSC2
ANZA002,S,SICH,Simmondsia chinensis (Link) Schneid.,Simmondsia chinensis,0.2,0,NA,NA,SICH
ANZA002,S,KEAN,Keckiella antirrhinoides (Benth.) Straw,Keckiella antirrhinoides,0.2,0,NA,NA,KEAN
ANZA002,S,ATCA2,Atriplex canescens (Pursh) Nutt.,Atriplex canescens,0.2,0,NA,NA,ATCA2
ANZA002,S,YUWH,Yucca whipplei Torr.,Yucca whipplei,0.2,0,NA,NA,HEWH
ANZA002,S,VIPA14,Viguiera parishii Greene,Viguiera parishii,0.2,0,NA,NA,VIPA14
ANZA002,S,THMO,Thamnosma montana Torr. & Frm.,Thamnosma montana,0.2,0,NA,NA,THMO
ANZA002,S,ACSP12,Achnatherum speciosum (Trin. & Rupr.) Barkworth,Achnatherum speciosum,0.2,0,NA,NA,ACSP12
ANZA002,S,ENAC,Encelia actonii Elmer,Encelia actonii,0.2,0,NA,NA,ENAC
ANZA002,S,SAAP2,Salvia apiana Jepson,Salvia apiana,0.2,0,NA,NA,SAAP2
ANZA002,G,OPAC,Opuntia acanthocarpa Engelm. & Bigelow,Opuntia acanthocarpa,0.2,0,NA,NA,CYACA2
ANZA002,S,ERLI6,Ericameria linearifolia (DC.) Urbatsch & Wussow,Ericameria linearifolia,0.2,0,NA,NA,ERLI6
ANZA002,G,ISME5,Isocoma menziesii (Hook. & Arn.) Nesom,Isocoma menziesii,0.2,0,NA,NA,ISME5
ANZA002,G,ACSP12,Achnatherum speciosum (Trin. & Rupr.) Barkworth,Achnatherum speciosum,0.2,0,NA,NA,ACSP12
ANZA002,G,ECEN,Echinocereus engelmannii (Parry ex Engelm.) Lem.,Echinocereus engelmannii,0.2,0,NA,NA,ECEN
ANZA002,G,VIPA14,Viguiera parishii Greene,Viguiera parishii,0.2,0,NA,NA,VIPA14
ANZA002,G,MIBI8,Mirabilis bigelovii Gray,Mirabilis bigelovii,0.2,0,NA,NA,MILAV
ANZA002,G,ENAC,Encelia actonii Elmer,Encelia actonii,0.2,0,NA,NA,ENAC
ANZA002,S,RHOV,Rhus ovata S. Wats.,Rhus ovata,0.2,0,NA,NA,RHOV
ANZA003,S,PRFR,Prunus fremontii S. Wats.,Prunus fremontii,8,0,NA,NA,PRFR
ANZA003,T,PRFR,Prunus fremontii S. Wats.,Prunus fremontii,3,0,NA,NA,PRFR
ANZA003,S,PRIL,Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr.,Prunus ilicifolia,2,0,NA,NA,PRIL
ANZA003,S,BRFR,Brickellia frutescens Gray,Brickellia frutescens,2,0,NA,NA,BRFR
ANZA003,T,PRIL,Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr.,Prunus ilicifolia,2,0,NA,NA,PRIL
ANZA003,S,PLPL,Pleurocoronis pluriseta (Gray) King & H.E. Robins.,Pleurocoronis pluriseta,2,0,NA,NA,PLPL
ANZA003,S,EPNE,Ephedra nevadensis S. Wats.,Ephedra nevadensis,1,0,NA,NA,EPNE
ANZA003,G,ARPU9,Aristida purpurea Nutt.,Aristida purpurea,0.2,0,NA,NA,ARPU9
ANZA003,S,SICH,Simmondsia chinensis (Link) Schneid.,Simmondsia chinensis,0.2,0,NA,NA,SICH
ANZA003,G,GAAN2,Galium angustifolium Nutt. ex Gray,Galium angustifolium,0.2,0,NA,NA,GAAN2
ANZA003,G,BRMA3,Bromus madritensis L.,Bromus madritensis,0.2,0,NA,NA,BRMA3
ANZA003,S,MEIM,Melica imperfecta Trin.,Melica imperfecta,0.2,0,NA,NA,MEIM
ANZA003,S,ERFA2,Eriogonum fasciculatum Benth.,Eriogonum fasciculatum,0.2,0,NA,NA,ERFA2
ANZA003,S,ACGR,Acacia greggii Gray,Acacia greggii,0.2,0,NA,NA,SEGR4
ANZA003,S,GUSA2,Gutierrezia sarothrae (Pursh) Britt. & Rusby,Gutierrezia sarothrae,0.2,0,NA,NA,GUSA2
ANZA004,G,BRMAR,Bromus madritensis L. ssp. rubens (L.) Husnot,Bromus madritensis ssp. rubens,53,0,NA,NA,BRRU2
ANZA004,G,SEBI,Selaginella bigelovii Underwood,Selaginella bigelovii,15,0,NA,NA,SEBI
ANZA004,S,LOSC2,Lotus scoparius (Nutt.) Ottley,Lotus scoparius,15,0,NA,NA,LOSC2
ANZA004,S,PRFR,Prunus fremontii S. Wats.,Prunus fremontii,12,0,NA,NA,PRFR
ANZA004,S,ZIPA,Ziziphus parryi Torr.,Ziziphus parryi,12,0,NA,NA,ZIPA
ANZA004,S,RHOV,Rhus ovata S. Wats.,Rhus ovata,8,0,NA,NA,RHOV
ANZA004,S,ERFA2,Eriogonum fasciculatum Benth.,Eriogonum fasciculatum,5,0,NA,NA,ERFA2
ANZA004,S,VIPA14,Viguiera parishii Greene,Viguiera parishii,4,0,NA,NA,VIPA14
ANZA004,S,KEAN,Keckiella antirrhinoides (Benth.) Straw,Keckiella antirrhinoides,4,0,NA,NA,KEAN
ANZA004,G,ERLI6,Ericameria linearifolia (DC.) Urbatsch & Wussow,Ericameria linearifolia,3,0,NA,NA,ERLI6
ANZA004,S,CAFO2,Castilleja foliolosa Hook. & Arn.,Castilleja foliolosa,3,0,NA,NA,CAFO2
ANZA004,S,ERLI6,Ericameria linearifolia (DC.) Urbatsch & Wussow,Ericameria linearifolia,3,0,NA,NA,ERLI6
ANZA004,S,SAAP2,Salvia apiana Jepson,Salvia apiana,2,0,NA,NA,SAAP2
ANZA004,S,SICH,Simmondsia chinensis (Link) Schneid.,Simmondsia chinensis,0.2,0,NA,NA,SICH
ANZA004,S,QUCO7,Quercus cornelius-mulleri Nixon & Steele,Quercus cornelius-mulleri,0.2,0,NA,NA,QUCO7
ANZA004,S,HESC2,Helianthemum scoparium Nutt.,Helianthemum scoparium,0.2,0,NA,NA,HESC2
ANZA004,S,CHTE4,Chrysothamnus teretifolius (Dur. & Hilg.) Hall,Chrysothamnus teretifolius,0.2,0,NA,NA,ERTE18
ANZA004,S,OPAC,Opuntia acanthocarpa Engelm. & Bigelow,Opuntia acanthocarpa,0.2,0,NA,NA,CYACA2
ANZA004,S,YUSC2,Yucca schidigera Roezl ex Ortgies,Yucca schidigera,0.2,0,NA,NA,YUSC2
ANZA004,S,ACSP12,Achnatherum speciosum (Trin. & Rupr.) Barkworth,Achnatherum speciosum,0.2,0,NA,NA,ACSP12
ANZA004,S,SPAM2,Sphaeralcea ambigua Gray,Sphaeralcea ambigua,0.2,0,NA,NA,SPAM2
ANZA004,S,CACO4,Calochortus concolor (Baker) Purdy,Calochortus concolor,0.2,0,NA,NA,CACO4
ANZA004,S,ACGR,Acacia greggii Gray,Acacia greggii,0.2,0,NA,NA,SEGR4
ANZA004,S,JUCA7,Juniperus californica Carr.,Juniperus californica,0.2,0,NA,NA,JUCA7
ANZA004,G,YUWH,Yucca whipplei Torr.,Yucca whipplei,0.2,0,NA,NA,HEWH
