AllianceCaCode,ScientificName,Provisional,ClassifLevel,PrimaryLifeform,DateAdded
88.800.00,Abies amabilis,,Alliance,Tree,11/1/95
88.300.00,Abies bracteata,,Alliance,Tree,11/1/95
88.500.00,Abies concolor,,Alliance,Tree,11/1/95
88.510.00,Abies concolor – Pinus lambertiana,,Alliance,Tree,9/1/09
88.530.00,Abies concolor – Pseudotsuga menziesii,,Alliance,Tree,9/1/09
88.100.00,Abies grandis – Picea sitchensis – Thuja plicata,,Alliance,Tree,11/1/95
88.400.00,Abies lasiocarpa,,Alliance,Tree,11/1/95
88.200.00,Abies magnifica,,Alliance,Tree,11/1/95
88.520.00,Abies magnifica – Abies concolor [inactive],,Alliance,Tree,9/1/09
61.450.00,Acer macrophyllum,,Alliance,Tree,9/1/09
61.440.00,Acer negundo,,Alliance,Tree,9/1/09
75.100.00,Aesculus californica,,Alliance,Tree,11/1/95
61.420.00,Alnus rhombifolia,,Alliance,Tree,11/1/95
61.410.00,Alnus rubra,,Alliance,Tree,11/1/95
73.200.00,Arbutus menziesii,,Alliance,Tree,9/1/09
33.120.00,Bursera microphylla,,Special Stands,Tree,11/1/95
81.606.00,Hesperocyparis abramsiana [inactive],,Special Stands,Tree,11/1/95
81.601.00,Hesperocyparis bakeri,,Alliance,Tree,11/1/95
81.607.00,Hesperocyparis forbesii [inactive],,Alliance,Tree,11/1/95
81.603.00,Hesperocyparis goveniana [inactive],,Special Stands,Tree,11/1/95
81.300.00,Hesperocyparis macnabiana [inactive],,Alliance,Tree,11/1/95
81.604.00,Hesperocyparis macrocarpa [inactive],,Special Stands,Tree,11/1/95
81.605.00,Hesperocyparis nevadensis [inactive],,Alliance,Tree,11/1/95
81.200.00,Callitropsis nootkatensis,,Alliance,Tree,11/1/95
81.400.00,Hesperocyparis pigmaea [inactive],,Alliance,Tree,11/1/95
81.500.00,Hesperocyparis sargentii [inactive],,Alliance,Tree,11/1/95
81.610.00,Hesperocyparis stephensonii,,Special Stands,Tree,11/1/95
85.100.00,Calocedrus decurrens,,Alliance,Tree,11/1/95
81.100.00,Chamaecyparis lawsoniana,,Alliance,Tree,11/1/95
61.550.00,Chilopsis linearis [inactive],,Alliance,Tree,9/1/09
79.100.00,Eucalyptus spp. – Ailanthus altissima – Robinia pseudoacacia,,Semi-Natural Alliance,Tree,11/1/95
61.960.00,Fraxinus latifolia,,Alliance,Tree,9/1/09
72.100.00,Juglans californica,,Alliance,Tree,11/1/95
61.810.00,Juglans hindsii and Hybrids,,Special Stands and Semi-Natural Alliance,Tree,11/1/95
89.100.00,Juniperus californica,,Alliance,Tree,11/1/95
89.200.00,Juniperus grandis,,Alliance,Tree,11/1/95
89.400.00,Juniperus occidentalis,,Alliance,Tree,11/1/95
89.300.00,Juniperus osteosperma,,Alliance,Tree,11/1/95
73.100.00,Notholithocarpus densiflorus,,Alliance,Tree,11/1/95
77.000.00,Lyonothamnus floribundus [inactive],,Special Stands,Tree,11/1/95
61.545.00,Parkinsonia florida – Olneya tesota,,Alliance,Tree,11/1/95
83.300.00,Picea breweriana,,Alliance,Tree,9/1/09
83.100.00,Picea engelmannii,,Alliance,Tree,11/1/95
83.200.00,Picea sitchensis,,Alliance,Tree,11/1/95
87.180.00,Pinus albicaulis,,Alliance,Tree,11/1/95
87.100.00,Pinus attenuata,,Alliance,Tree,11/1/95
87.150.00,Pinus balfouriana,,Alliance,Tree,11/1/95
87.060.00,Pinus contorta ssp. contorta,,Alliance,Tree,11/1/95
87.080.00,Pinus contorta ssp. murrayana,,Alliance,Tree,11/1/95
87.090.00,Pinus coulteri,,Alliance,Tree,11/1/95
87.050.00,Pinus edulis,,Alliance,Tree,11/1/95
87.160.00,Pinus flexilis,,Alliance,Tree,11/1/95
87.020.00,Pinus jeffreyi,,Alliance,Tree,11/1/95
87.206.00,Pinus lambertiana,,Alliance,Tree,9/1/09
87.140.00,Pinus longaeva,,Alliance,Tree,11/1/95
87.040.00,Pinus monophylla – (Juniperus osteosperma),,Alliance,Tree,11/1/95
87.170.00,Pinus monticola,,Alliance,Tree,11/1/95
87.070.00,Pinus muricata [inactive],,Alliance,Tree,11/1/95
87.010.00,Pinus ponderosa,,Alliance,Tree,11/1/95
87.015.00,Pinus ponderosa – Calocedrus decurrens [inactive],,Alliance,Tree,11/1/95
82.400.00,Pinus ponderosa – Pseudotsuga menziesii [inactive],,Alliance,Tree,11/1/95
87.030.00,Pinus quadrifolia,,Alliance,Tree,11/1/95
87.110.00,Pinus radiata [inactive],,Alliance,Tree,11/1/95
87.130.00,Pinus sabiniana,,Alliance,Tree,11/1/95
87.190.00,Pinus torreyana,,Alliance,Tree,11/1/95
87.120.00,Pinus ponderosa var. washoensis [inactive],,Alliance,Tree,11/1/95
61.310.00,Platanus racemosa – Quercus agrifolia,,Alliance,Tree,11/1/95
61.130.00,Populus fremontii – Fraxinus velutina – Salix gooddingii,,Alliance,Tree,11/1/95
61.111.00,Populus tremuloides,,Alliance,Tree,11/1/95
61.120.00,Populus trichocarpa,,Alliance,Tree,11/1/95
61.512.00,Prosopis glandulosa [inactive],,Alliance,Tree,9/1/09
61.513.00,Prosopis pubescens [inactive],,Alliance,Tree,9/1/09
82.100.00,Pseudotsuga macrocarpa,,Alliance,Tree,11/1/95
82.200.00,Pseudotsuga menziesii [inactive],,Alliance,Tree,11/1/95
82.600.00,Pseudotsuga menziesii – Calocedrus decurrens,,Alliance,Tree,9/1/09
82.500.00,Pseudotsuga menziesii – Notholithocarpus densiflorus [inactive],,Alliance,Tree,11/1/95
61.570.00,Psorothamnus spinosus [inactive],,Alliance,Tree,9/1/09
71.060.00,Quercus agrifolia,,Alliance,Tree,11/1/95
71.050.00,Quercus chrysolepis (tree),,Alliance,Tree,11/1/95
71.020.00,Quercus douglasii,,Alliance,Tree,11/1/95
71.070.00,Quercus engelmannii,,Alliance,Tree,11/1/95
