AssociationCaCode,ScientificName,Provisional,ClassifLevel,DateAddedToMCV
21.100.01,Coleogyne ramosissima ,,Association,
21.100.03,Ambrosia chamissonis – Eriophyllum staechadifolium – (Lupinus arboreus),,Association,
21.100.06,Poa douglasii – Lathyrus littoralis,,Association,
21.100.11,Ambrosia chamissonis,,Association,02-Dec-16
21.100.12,Monardella undulata,Provisional,Association,31-Oct-25
21.101.01,Abronia latifolia – Erigeron glaucus,,Association,
21.101.02,Abronia latifolia – Leymus mollis,,Association,
21.102.01,Ambrosia chamissonis – Abronia umbellata,,Association,
21.102.02,Ambrosia chamissonis – Abronia maritima – Cakile maritima,,Association,
21.102.03,Ambrosia chamissonis – Malacothrix incana – Carpobrotus chilensis – Poa douglasii,,Association,
21.102.04,Cakile maritima – Ambrosia chamissonis – Carpobrotus edulis,,Association,
21.102.05,Calystegia macrostegia – Erigeron glaucus – Malacothrix incana,,Association,07-Dec-16
21.102.06,Lupinus littoralis – (Grindelia stricta var. platyphylla – Erigeron glaucus),,Association,18-Mar-25
21.110.01,Artemisia pycnocephala – Cardionema ramosissimum,,Association,
21.110.02,Artemisia pycnocephala – Polygonum paronychia,,Association,
21.110.03,Artemisia pycnocephala – Ericameria ericoides,,Association,
21.110.04,Artemisia pycnocephala – Poa douglasii,,Association,
21.120.01,Festuca rubra – (Polygonum paronychia) Dune,,Association,07-Aug-25
21.125.01,Cakile maritima – Abronia maritima,Provisional,Semi-natural Association,
21.125.02,"Cakile (edentula, maritima)",Provisional,Semi-natural Association,13-Feb-20
21.200.01,Carpobrotus (edulis),,Semi-natural Association,01-Dec-16
21.200.02,Carpobrotus spp. – Mesembryanthemum crystallinum,,Semi-natural Association,13-Dec-16
21.200.03,Mesembryanthemum crystallinum – Malva parviflora – Hordeum murinum,,Association,17-Apr-18
21.310.01,Eriophyllum staechadifolium – Eriogonum latifolium,,Association,13-Feb-20
21.310.02,Erigeron glaucus – Fragaria chiloensis,,Association,13-Feb-20
21.310.03,Eriogonum parvifolium,Provisional,Association,13-Feb-20
21.310.04,Erigeron glaucus – Distichlis spicata,Provisional,Association,06-Jul-22
21.310.05,Armeria maritima – Plantago (maritima),Provisional,Association,30-Sep-22
21.310.06,Eriogonum latifolium – (Camissonia cheranthifolia),,Association,30-Jan-25
21.310.07,Eriogonum parvifolium Inland,Provisional,Association,07-Oct-25
