Alliance,Association,CaCode,MCVAboveAlliance,SumOfCountOfSurveyID,Inactivated,CaCodeUpdate,AllianceUpdate,AssociationUpdate,InactivationType,LineageNewCaCode
Abies concolor – Pseudotsuga menziesii,Abies concolor – Pseudotsuga menziesii / Rosa gymnocarpa,88.530.24,,1,FALSE,,,,,
Abies concolor – Pseudotsuga menziesii,Pseudotsuga menziesii – Abies concolor / Sparse understory Provisional,88.530.39,,1,FALSE,,,,,
Abies concolor Dry,,88.501.00,,1,FALSE,,,,,
Abies grandis,,88.100.00,,1,FALSE,,,,,
Abies magnifica,,88.200.00,,67,FALSE,,,,,
Abies magnifica,Abies magnifica,88.200.23,,13,FALSE,,,,,
Abies magnifica,Abies magnifica – (Pinus monticola) / Arctostaphylos nevadensis,88.200.28,,11,FALSE,,,,,
Abies magnifica,Abies magnifica – Abies concolor,88.520.01,,9,FALSE,,,,,
Abies magnifica,Abies magnifica – Pinus contorta ssp. murrayana / Hieracium albiflorum,88.200.24,,17,TRUE,,,,Lumped,88.200.25
Abies magnifica,Abies magnifica – Pinus monticola,88.200.30,,63,FALSE,,,,,
Abies magnifica,Abies magnifica – Pinus monticola – Pinus contorta ssp. murrayana,88.200.29,,20,FALSE,,,,,
Abies magnifica – Abies concolor,,88.520.00,,25,TRUE,,,,Lumped,88.200.00
Abies magnifica – Abies concolor,Abies magnifica – Abies concolor – Pinus jeffreyi,88.520.09,,10,FALSE,,,,,
Abies magnifica – Abies concolor,Abies magnifica – Abies concolor / Pinus lambertiana,88.520.10,,8,FALSE,,,,,
Abronia latifolia – Ambrosia chamissonis,,21.100.00,,20,FALSE,,,,,
Abronia latifolia – Ambrosia chamissonis,Abronia latifolia – Calystegia soldanella – Lathyrus littoralis,21.100.01,,13,FALSE,,,,,
Abronia latifolia – Ambrosia chamissonis,Ambrosia chamissonis,21.100.11,,22,FALSE,,,,,
Abronia latifolia – Ambrosia chamissonis,Ambrosia chamissonis – Abronia maritima – Cakile maritima,21.102.02,,14,FALSE,,,,,
Abronia latifolia – Ambrosia chamissonis,Ambrosia chamissonis – Abronia umbellata,21.102.01,,5,FALSE,,,,,
Abronia latifolia – Ambrosia chamissonis,Artemisia pycnocephala – Calystegia soldanella,21.100.01,,1,FALSE,,,,,
Abronia latifolia – Ambrosia chamissonis,Artemisia pycnocephala – Polygonum paronychia,21.110.02,,1,TRUE,,,,Merged,21.320.01
Abronia latifolia – Ambrosia chamissonis,Cakile maritima – Ambrosia chamissonis – Carpobrotus edulis,21.102.04,,3,FALSE,,,,,
Abronia latifolia – Ambrosia chamissonis,Calystegia macrostegia – Erigeron glaucus – Malacothrix incana,21.102.05,,4,FALSE,,,,,
Acacia greggii,,33.040.00,,5,TRUE,,,,Merged,33.045.00
Acacia greggii,Acacia greggii – Eriogonum fasciculatum,33.040.13,,7,FALSE,,,,,
Acacia greggii,Acacia greggii wash (Justicia californica),33.040.01,,2,FALSE,,,,,
Acacia spp. – Grevillea spp. – Leptospermum laevigatum,"Acacia (cyclops, dealbata)",32.220.01,,5,FALSE,,,,,
Acacia spp. – Grevillea spp. – Leptospermum laevigatum [pending],,32.220.00,,2,FALSE,,,,,
Acacia spp. – Grevillea spp. – Leptospermum laevigatum [pending],"Acacia (cyclops, dealbata)",32.220.01,,1,FALSE,,,,,
Acer glabrum,,61.430.00,,2,FALSE,,,,,
Acer macrophyllum,,61.450.00,,3,FALSE,,,,,
Acer macrophyllum,Acer macrophyllum,61.450.01,,5,FALSE,,,,,
Acer macrophyllum,Acer macrophyllum – Pseudotsuga menziesii / Polystichum munitum,61.450.06,,1,FALSE,,,,,
Acer macrophyllum,Acer macrophyllum / (Rubus ursinus),61.450.01,,10,FALSE,,,,,
Acer macrophyllum,Umbellularia californica – Acer macrophyllum,74.100.10,,14,FALSE,,,,,
Acer macrophyllum,Umbellularia californica / Rhododendron occidentale,74.100.17,,1,FALSE,,,,,
Acer macrophyllum – Alnus rubra,,61.460.00,,1,FALSE,,,,,
Acer macrophyllum – Alnus rubra,Acer macrophyllum – Pseudotsuga menziesii / Polystichum munitum,61.450.06,,5,FALSE,,,,,
Acer macrophyllum – Alnus rubra,Acer macrophyllum / (Rubus ursinus),61.450.01,,3,FALSE,,,,,
