ProjectCode,ClassificationDescription,ClassificationTool,technique
ALCC,Classified new and legacy surveys within the two counties as well as those that were in adjacent counties within the same ecoregion subsections.  Surveys that were classified but not included in the vegetation descriptions are given the classification code ALCCadj,"PC-Ord, cluster analysis for RA/Releves, AAs were keyed","multiVariateAnalysis, inspection"
ALCC-GR,Classified new and legacy surveys within the two counties as well as those that were in adjacent counties within the same ecoregion subsections.  Surveys that were classified but not included in the vegetation descriptions are given the classification code ALCCadj,NA,multiVariateAnalysis
ALSC,"The PC-ORD software suite of classification and ordination tools was used to generate multivariate analyses such as Cluster Analysis and Indicator Species Analysis (McCune and Mefford 1997). These analyses were employed to order vegetation surveys into groups related by their species composition and
abundance, so that a formalized classification of community types would be created.",PC-ORD,multiVariateAnalysis
ANZA,"COMPCLUS was used to see the similarity of plots using a predetermined number of seed plots.  TWINSPAN was run multiple times for the final classification.  One where species values were all relativized, another where species were set to presence/absence, reduced to just a few cover classes, also tried removing and including rare species. The final was based on the following settings 12 divisions, pseudo-species cut values set to match cover class intervals in the field forms, and no weighting on any class.",COMPCLUS to a small degree and TWINSPAN  was more heavily relied upon,multiVariateAnalysis
AWSF,NA,NA,NA
CAMO-VegMap,NA,NA,NA
CANO,NA,NA,NA
CARR,"Cluster Analysis, Indicator Species Analysis",PC-ORD,multiVariateAnalysis
CAVA,surveys were keyed using the Carrizo classificatrion and the MCV to support mapping,NA,inspection
CCBLM,"a hierarchical agglomerative Cluster Analysis technique was employed with Sorenson distance and flexible beta linkage method at -0.25 (McCune and Grace 2002).  The cluster analysis technique was based on abundance (cover) values converted to seven different classes using the following modified Braun-Blanquet (1932/1951) cover categories: 1=<1%, 2=1-5%, 3=>5-15%, 4=>15-25%, 5=>25-50%, 6=>50-75%, 7=>75%.",PC-ORD cluster analysis,multiVariateAnalysis
CDLO,The final analysis used the Sorensen distance and flexible beta linkage method at -0.25 (McCune and Grace 2002).  This cluster analysis technique was based on abundance (cover) values converted to seven different classes using the following modified Braun-Blanquet (1932) cover categories,PC-ORD,multiVariateAnalysis
CEQA_BRVC,NA,NA,NA
CEQA_SWNC,NA,NA,NA
CEQA_WRFB,NA,NA,NA
CHOC,"Surveys were keyed using classifications from the Desert Renewable Energy Conservation Plan vegetation, the vegetation classification for the Northern and Eastern Colorado Desert, the Mojave Networt (NPS), and reports for the Coachella Valley Conservation Commission done by UC Riverside, in as much was possible.",NA,inspection
COYO,"A hierarchical agglomerative Cluster Analysis was employed (McCune and Grace 2002) with Sorenson distance and flexible beta linkage method at -0.25. After the Cluster Analysis runs, Indicator Species Analysis (ISA) was employed to objectively decide what group level to cut the dendrogram and explicitly interpret the groups. Further, ISA was used to designate species that indicate the different groups. TWINSPAN using Euclidean distance measure (McCune and Mefford 1997) was also employed, and this was highly congruent with the other combination, where there were disparities, there was a review of species composition to resolve.",PC-ORD,multiVariateAnalysis
CPVC,"The plots were keyed using a combination of the key from the Vegetation Classification Manual for Western San Diego (Sproul et al, 2011) and the Manual of California Vegetation Online.",NA,inspection
CVPA,"Cluster Analysis, Indicator Species Analysis",PC-ORD,multiVariateAnalysis
CVPAA,These data will be compiled with other Ciervo-Panoche south surveys and co-analyzed.,2022,inspection
CVRP,NA,NA,NA
CZPOF,NA,NA,NA
CZPOFL,NA,NA,NA
DEDW,NA,NA,NA
DEVA-DelFavero,NA,NA,NA
DEVA-Slaton,NA,NA,NA
DEVA-Springs,NA,NA,NA
DFGRF,NA,NA,NA
EBRP-GR,NA,NA,NA
EDGW,NA,NA,NA
ELDO,NA,NA,NA
FISH,See http://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=76530 These data were analyzed together using multivariate cluster analysis. The cluster analysis was based on abundance (cover) values converted to seven different classes using modified Braun-Blanquette (1932) cover categories. It the employed the Sorensen distance measure and flexible beta linkage method at -0.25 (McCune and Grace 2002).,PC-ORD version 5 software,multiVariateAnalysis
FNWS,Used the key from the Vegetation of Western San Diego to key each plot to the association level.,NA,inspection
GRASS,"Cluster Analysis, Indicator Species Analysis",PC-ORD,multiVariateAnalysis
GV,"Cluster Analysis, Indicator Species Analysis",PC-ORD,multiVariateAnalysis
HETH,NA,NA,NA
HUBB,NA,PCOrd and R,multiVariateAnalysis
ISLES,NA,NA,NA
ISMT,NA,NA,NA
JAWB,NA,NA,NA
JAWB-Recon,NA,NA,NA
JOMU,A formal site-specific classification using ordination was not performed and the plant communities are not fully described.,NA,NA
JOTR-2012,NA,NA,NA
KNOX,"These data were analyzed using multivariate cluster analysis, performed by PC-ORD version 6 software. The cluster analysis was based on abundance (cover values) converted to seven different classes using the following modified Braun-Blanquette (1932) cover categories: 1 = <1%, 2 = 1-5%, 3 =>5-15%, 4 = >15-25%, 5 = >25-50%, 6 = >50-75%, 7 = >75%. For the analysis, VegCAMP used the Sorensen distance measure and flexible beta linkage method at -0.25 (McCune and Grace 2002). Floristic data collected in 103 reconnaissance samples were used to refine and validate the final classification for the map",PC-ORD,multiVariateAnalysis
LLNL,Classified with Alameda - Contra Costa project,NA,inspection
LOMA,NA,NA,NA
MARIN,"The cluster analysis used the Sorensen Distance Measure and Flexible Beta Linkage method at -0.25 (McCune and Grace 2002). Using this method of agglomerative clustering, surveys were grouped together based on similarities in species composition and abundance (McCune and Mefford 1997). The initial cluster analysis was performed to partition the dataset into manageable subsets. Outlier and cluster analyses were conducted on each subset and indicator species analysis (ISA) was used to select cluster group levels for classification analysis.",PC-ORD and R stats,multiVariateAnalysis
MCVS,NA,NA,NA
MDEI_Central,A combination of TWINSPAN and Cluster Analysis using Ward's scaling method and Euclidean distance was used. Differences between the two sets of groupings were reviewed for species composition.,PC-ORD,multiVariateAnalysis
