ob_code,disturbance_type,disturbance_comment,disturbance_intensity,disturbance_age,disturbance_extent
CARR2101,Competition from exotics,NA,Moderate,NA,NA
CARR2101,Grazing,NA,High,NA,NA
CARR2102,Competition from exotics,NA,NA,NA,NA
CARR2131,Competition from exotics,NA,High,NA,NA
EAI-300,Competition from exotics,NA,Low,NA,NA
EAI-300,Other,birds,Moderate,NA,NA
EAI-303A,Competition from exotics,NA,Low,NA,NA
EAI-303A,Other,birds,Low,NA,NA
EAI-304,Competition from exotics,NA,Low,NA,NA
EAI-304,Other,birds,High,NA,NA
EAI-306,Competition from exotics,NA,Low,NA,NA
EAI-306,Other,birds,Low,NA,NA
EAI-307A,Other,bird,Moderate,NA,NA
EAI-307A,Competition from exotics,NA,Low,NA,NA
EAI-308A,Competition from exotics,NA,High,NA,NA
EAI-308A,Other,birds,Moderate,NA,NA
EAI-310,Other,birds,Low,NA,NA
EAI-310,Competition from exotics,NA,Low,NA,NA
EAI-311,Competition from exotics,NA,High,NA,NA
EAI-311,Other,birds,Low,NA,NA
EAI-312,Competition from exotics,NA,Low,NA,NA
EAI-312,Other,birds,High,NA,NA
EAI-313,Competition from exotics,NA,Low,NA,NA
EAI-313,Other,birds,High,NA,NA
EAI-314A,Other,birds,Moderate,NA,NA
EAI-314A,Competition from exotics,NA,Moderate,NA,NA
EAI-315,Competition from exotics,NA,Low,NA,NA
EAI-315,Other,birds,Moderate,NA,NA
EAI-317V,Competition from exotics,NA,Low,NA,NA
EAI-319A,Competition from exotics,NA,Low,NA,NA
EAI-319A,Other,birds,High,NA,NA
EAI-320,Other,birds,High,NA,NA
EAI-320,Vandalism/dumping/litter,dumping,Low,NA,NA
EAI-320,Competition from exotics,NA,Moderate,NA,NA
EAI-321,Other,birds,Moderate,NA,NA
EAI-321,Competition from exotics,NA,Low,NA,NA
EAI-322,Competition from exotics,NA,Low,NA,NA
EAI-322,Other,birds,Moderate,NA,NA
EAI-323,Other,birds,Moderate,NA,NA
EAI-323,Competition from exotics,NA,Low,NA,NA
EAI-400,Competition from exotics,NA,Low,NA,NA
EAI-400,Other,birds,Moderate,NA,NA
EAI-401,Competition from exotics,NA,Low,NA,NA
EAI-401,Other,birds,High,NA,NA
EAI-402,Competition from exotics,NA,Low,NA,NA
EAI-402,Other,birds,Low,NA,NA
EAI-403,Competition from exotics,NA,Low,NA,NA
EAI-403,Other,birds,Low,NA,NA
EAI-404,Other,birds,High,NA,NA
EAI-404,Competition from exotics,NA,Low,NA,NA
EAI-405,Competition from exotics,NA,Low,NA,NA
EAI-405,Other,birds,Moderate,NA,NA
MAI-03,Other,pelican nests,NA,NA,NA
MAI-03,Competition from exotics,NA,Low,NA,NA
MAI-05,Competition from exotics,NA,High,NA,NA
MAI-08,Competition from exotics,NA,Low,NA,NA
MAI-08,Other,bird nesting,High,NA,NA
MAI-09,Competition from exotics,NA,Low,NA,NA
MAI-09,Other,pelican nesting,NA,NA,NA
MAI-1,Other,NA,High,NA,NA
MAI-1,Competition from exotics,NA,Moderate,NA,NA
MAI-11,Competition from exotics,NA,Moderate,NA,NA
MAI-12A,Competition from exotics,NA,Moderate,NA,NA
MAI-12A,Other,NA,High,NA,NA
MAI-14,Competition from exotics,NA,Low,NA,NA
MAI-15,Competition from exotics,NA,Low,NA,NA
MAI-2,Competition from exotics,NA,Low,NA,NA
MAI-2,Other,NA,High,NA,NA
MAI-4,Competition from exotics,NA,Moderate,NA,NA
MAI-4,Other,NA,High,NA,NA
MAI-7,Other,NA,High,NA,NA
SMI-0001,Competition from exotics,NA,High,NA,NA
SMI-0002,Competition from exotics,NA,Moderate,NA,NA
SMI-0002,Other,wind scour,Moderate,NA,NA
SMI-0003,Competition from exotics,NA,Low,NA,NA
SMI-0004,Competition from exotics,NA,High,NA,NA
SMI-0005,Competition from exotics,NA,High,NA,NA
SMI-0005,Erosion/runoff,NA,Low,NA,NA
SMI-0006,Competition from exotics,NA,Moderate,NA,NA
SMI0007A,Competition from exotics,NA,Low,NA,NA
SMI-0008,Competition from exotics,NA,Low,NA,NA
SMI-0009,Competition from exotics,NA,Low,NA,NA
SMI-0010,Competition from exotics,NA,Low,NA,NA
SMI-0010,Erosion/runoff,NA,High,NA,NA
SMI-0013,Competition from exotics,NA,Low,NA,NA
